location,address,city,zip_code,lat,lon,category,state,info
Excelsior Club,921 Beatties Ford Rd,Charlotte,,35.2519153,-80.8564819,historic,NC,Art Moderne
Edgewood Farmhouse,11132 Eastfield Rd,Huntersville,,35.36889,-80.809684,historic,NC,Federal
Myers Park Streetcar Waiting Station,101 Queens Rd,Charlotte,,35.211348,-80.826729,historic,NC,Bungalow
Siloam School,10008 John Adams Rd,Charlotte,,35.3360105,-80.7386453,historic,NC,Rural Vernacular
American Legion Memorial Stadium,310 N Kings Dr,Charlotte,,35.219053,-80.8292151,historic,NC,Art Deco
Overcarsh House,326 W Eighth St,Charlotte,,35.2328047,-80.8414441,historic,NC,Queen Anne
Textile Mill Supply Company Building,1300 S Mint St,Charlotte,,35.2213133,-80.8577911,historic,NC,Mill Building
Mt. Zion Lutheran Church,1605 Luther St,Charlotte,,35.2099686,-80.8310858,historic,NC,Gothic Revival
Wing Haven ,240 Ridgewood Ave,Charlotte,,35.1792177,-80.8414766,historic,NC,Colonial Revival
Young-Morrison House,224 W Tenth St,Charlotte,,35.2336269,-80.838102,historic,NC,Vernacular
Charlotte Fire Station # 5,224 Wesley Heights Way,Charlotte,,35.2371433,-80.8613408,historic,NC,Spanish Eclectic
Pineville Commercial Block,322 Main St,Pineville,,35.085945,-80.890772,historic,NC,Commercial
Poplar Apartments,301 W Tenth St,Charlotte,,35.2334882,-80.839098,historic,NC,Jacobethan Revival
Rowland-Clay House,606 E Charles St,Matthews,,35.1125845,-80.7148365,historic,NC,Craftsman
Alpha Cotton Mill,220 Alpha Mill Ln,Charlotte,,35.2314364,-80.8313432,historic,NC,Cotton Mill
R.F. Outen Pottery,430 Jefferson St,Matthews,,35.1151023,-80.7290208,historic,NC,Workshop/Pottery
Sandifer House,12601 Moore's Chapel Rd,Charlotte,,35.255603,-80.999925,historic,NC,Vernacular
Gluyas House,7314 Mt Holly-Huntersville Rd,Huntersville,,35.4036369,-80.8446044,historic,NC,Vernacular
First Associate Reformed Presbyterian Church,721 N Tryon St,Charlotte,,35.2327343,-80.8361786,historic,NC,Gothic Revival
Pineville Commercial Block (including interior),330 Main St,Pineville,,35.0859853,-80.8910422,historic,NC,Commercial
Eumenean Hall (Davidson College Campus),405 N Main St,Davidson,,35.502236,-80.847517,historic,NC,Greek Revival
Charlotte Water Works/Vest Station,820 Beatties Ford Rd,Charlotte,,35.2498786,-80.8564326,historic,NC,Art Deco
Elmwood/Pinewood Cemetery,700 W Sixth St,Charlotte,,35.234098,-80.847333,historic,NC,Cemetery
McEwen-Moore Farmhouse,2035 Moore Rd,Matthews,,35.116343,-80.693063,historic,NC,19th Century Vernacular
Edgewood Farmhouse,11124 Eastfield Rd,Huntersville,,35.369376,-80.810606,historic,NC,Federal
McAuley Road Farmland,16040 McAuley Rd,Huntersville,,35.434133,-80.778691,historic,NC,Farmland
Dr. Elmer H. Garinger High School,1100 Eastway Dr,Charlotte,,35.2409597,-80.7819839,historic,NC,Modernist School
Defiance Sock Mills,520 Elliot St,Charlotte,,35.2306548,-80.8578432,historic,NC,Mill
Park Avenue Mill Village,422 Park Ave,Pineville,,35.0825063,-80.894577,historic,NC,Mill Village
Armour-Adams House,626 N Main St,Davidson,,35.5059468,-80.8443253,historic,NC,Folk Victorian
Oak Lawn,12510 Oak Park Dr,Huntersville,,35.3959468,-80.8756992,historic,NC,Federal
White Oak,7729 Hood Rd,Charlotte,,35.248561,-80.6909639,historic,NC,Federal
Dr. Whitley Building,4311 Hillside Dr,Charlotte,,35.1790088,-80.8464208,historic,NC,Vernacular
Settler's Cemetery,200 W Fifth St,Charlotte,,35.229648,-80.843079,historic,NC,Cemetery
East Ave Tabernacle A.R.P. Church (former),926 Elizabeth Ave,Charlotte,,35.2193755,-80.8340161,historic,NC,Neoclassical
