id,location,address,city,zip_code,lat,lon,category,state,info
185,Arthur Smith Studios,5457 Monroe Rd,Charlotte,,35.1891977,-80.7707367,Historic,NC,Modern Recording Studio
186,Berryhill House,324 W Ninth St,Charlotte,,35.2336649,-80.8402676,Historic,NC,Victorian Italianate
187,Philip Carey Building,301 E Seventh St,Charlotte,,35.2277354,-80.8373248,Historic,NC,Commercial
188,Home Federal Savings & Loan,139 S Tryon St,Charlotte,,35.2262475,-80.8437902,Historic,NC,Modernist
189,Carolina Theatre (old),230 N Tryon St,Charlotte,,35.2283029,-80.8406229,Historic,NC,Mediterranean
190,Duke Mansion (Lynnwood),400 Hermitage Rd,Charlotte,,35.2015003,-80.8273552,Historic,NC,Colonial Revival
191,McAuley Road Farmland,15832 McAuley Rd,Huntersville,,35.430848,-80.779901,Historic,NC,Farmland
192,Renfrow Hardware Store,188 N Trade St,Matthews,,35.116444,-80.7215283,Historic,NC,Commercial
193,Unity Church Cabin/Lingle Hut,219 Watson St,Davidson,,35.5017039,-80.85103,Historic,NC,Depression-Era
194,Robinson Rock House Ruin,9763 Plaza Rd Ext,Newell,,35.263912,-80.707594,Historic,NC,Pioneer Rock Ruin
195,Charlotte Fire Station # 6,249 S Laurel Ave,Charlotte,,35.2026446,-80.822251,Historic,NC,Bungalow
196,First Baptist Church (Spirit Square),318 N Tryon St,Charlotte,,35.229039,-80.839981,Historic,NC,Byzantine Revival
197,Biddle Hall (JCSU Campus),160 Beatties Ford Rd,Charlotte,,35.243604,-80.856864,Historic,NC,Romanesque Revival
198,Torrence-Lytle School,302 Holbrooks Rd,Huntersville,,35.4000847,-80.8262599,Historic,NC,Vernacular
199,Park Avenue Mill Village,413 Park Ave,Pineville,,35.0816751,-80.8938747,Historic,NC,Mill Village
200,Mecklenburg Investment Company Building,229 S Brevard St,Charlotte,,35.2230253,-80.8419955,Historic,NC,Commercial
201,Funderburk Brothers Blacksmith Shop & Grist Mill,130 Library Ln,Matthews,,35.1168711,-80.7223729,Historic,NC,Commercial
202,Morrocroft,3550 Governor's Ln,Charlotte,,35.1597409,-80.822902,Historic,NC,Tudor Revival
203,Palmer Fire School,2601 E Seventh St,Charlotte,,35.205523,-80.808742,Historic,NC,Vernacular
204,Mt. Zion Methodist Church Parsonage,19631 S Main St,Cornelius,,35.47691,-80.8552712,Historic,NC,Victorian
205,Midwood Elementary School,1817 Central Ave,Charlotte,,35.2206938,-80.8088401,Historic,NC,Traditional Revival
206,McClintock Rosenwald School,14008 Erwin Rd,Charlotte,,35.11709,-80.978129,Historic,NC,Vernacular
207,Grace A.M.E. Zion Church,219 S Brevard St,Charlotte,,35.2231038,-80.8416279,Historic,NC,Gothic Revival
208,Rosedale,3427 N Tryon St,Charlotte,,35.25479,-80.805716,Historic,NC,Federal
209,Park Avenue Mill Village,417 Park Ave,Pineville,,35.0819209,-80.8943069,Historic,NC,Mill Village
210,McIntyre Historic Site,5801 Beatties Ford Rd,Charlotte,,35.312376,-80.864174,Historic,NC,Log (ruin)
211,Ratcliffe Florist Shop,431 S Tryon St,Charlotte,,35.224118,-80.847178,Historic,NC,Mediterranean
212,St. Lloyd Presbyterian Church Cemetery,Colony Rd & Sharon Township Ln,Charlotte,,35.1575889,-80.8274623,Historic,NC,Graveyard/Cemetery
213,Massey-Clark House,232 N Trade St,Matthews,,35.1177075,-80.7204029,Historic,NC,Vernacular
214,R.F. Outen Pottery Land,430 Jefferson St,Matthews,,35.1151023,-80.7290208,Historic,NC,Land
215,Sloan-Porter House,10124 Walkers Ferry Rd,Charlotte,,35.21682,-80.985283,Historic,NC,Log Cabin/Farmhouse
216,Renfrow-Lemmond House,344 W John St,Matthews,,35.1183431,-80.7254479,Historic,NC,Craftsman
217,Armature Winding Company Complex,1001 W First St,Charlotte,,35.2302834,-80.8565899,Historic,NC,20th Century Industrial
218,Charlotte Cotton Mills,508 W Fifth St,Charlotte,,35.2319447,-80.8459525,Historic,NC,Vernacular
219,Forbis-Venn House,5607 Matthews-Mint Hill Rd,Charlotte,,35.161186,-80.6703615,Historic,NC,Federal
220,Welch-McIntosh House,3301 Gibbon Rd,Charlotte,,35.3016182,-80.8111764,Historic,NC,Queen Anne
221,Newell Rosenwald School,1204 Torrence Grove Church Rd,Newell,,35.2791471,-80.7434626,Historic,NC,Vernacular
222,Sugaw Creek Schoolhouse,101 W Sugar Creek Rd,Charlotte,,35.2590999,-80.795857,Historic,NC,Federal
223,Johnston Mill,3315 N Davidson St,Charlotte,,35.2487718,-80.8040296,Historic,NC,Cotton Mill
224,Southern Power Company Transformer House,210 Delburg St,Davidson,,35.5041996,-80.8484174,Historic,NC,Romanesque Revival
225,VanLandingham Estate,2010 The Plaza,Charlotte,,35.229461,-80.807743,Historic,NC,Bungalow
226,Hawthorne Lane United Methodist Church,501 Hawthorne Ln,Charlotte,,35.2173079,-80.8213859,Historic,NC,Gothic Revival
227,Hovis-Spratt House,1405 Hawfield Rd,Charlotte,,35.2695481,-80.9911866,Historic,NC,Federal
228,John B. Ross & Company Mill,1000 NC Music Factory Blvd,Charlotte,,35.239118,-80.8460599,Historic,NC,Textile Mill
229,Advent Christian Church,831 E Morehead St,Charlotte,,35.2143225,-80.844547,Historic,NC,Gothic Revival
230,Helper Hotel (Carolina Inn),215 N Main St,Davidson,,35.5004828,-80.8483525,Historic,NC,Greek Revival
231,Eastover Elementary School,500 Cherokee Rd,Charlotte,,35.196573,-80.821349,Historic,NC,Colonial Revival
232,Rural Hill Plantation Expansion,4100 Neck Rd,Charlotte,,35.3831149,-80.948505,Historic,NC,Land
